flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,484,MEX,392,JPN,41,Raw hides and skins (other than furskins) and leather,N/A,,169537.0
M,484,MEX,392,JPN,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,262713.0
M,484,MEX,392,JPN,44,Wood and articles of wood; wood charcoal,N/A,,273184.0
M,484,MEX,392,JPN,45,Cork and articles of cork,N/A,,5690.0
M,484,MEX,392,JPN,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2820.0
M,484,MEX,392,JPN,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,74.0
M,484,MEX,392,JPN,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,31548534.0
M,484,MEX,392,JPN,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,4308552.0
M,484,MEX,392,JPN,50,Silk,N/A,,68935.0
M,484,MEX,392,JPN,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,46708.0
M,484,MEX,392,JPN,52,Cotton,N/A,,860504.0
M,484,MEX,392,JPN,55,Man-made staple fibres,N/A,,4005368.0
M,484,MEX,392,JPN,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,5562238.0
M,484,MEX,392,JPN,57,Carpets and other textile floor coverings,N/A,,88067.0
M,484,MEX,392,JPN,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,5849651.0
M,484,MEX,392,JPN,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,5783593.0
M,484,MEX,392,JPN,60,Fabrics; knitted or crocheted,N/A,,1046629.0
M,484,MEX,392,JPN,61,Apparel and clothing accessories; knitted or crocheted,N/A,,207680.0
M,484,MEX,392,JPN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,1458188.0
M,484,MEX,392,JPN,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,1775760.0
M,484,MEX,392,JPN,64,Footwear; gaiters and the like; parts of such articles,N/A,,31798.0
M,484,MEX,392,JPN,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,N/A,,2010.0
M,484,MEX,392,JPN,54,Man-made filaments; strip and the like of man-made textile materials,N/A,,5919657.0
M,484,MEX,392,JPN,69,Ceramic products,N/A,,11472773.0
M,484,MEX,392,JPN,70,Glass and glassware,N/A,,6028058.0
M,484,MEX,392,JPN,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,2610506.0
M,484,MEX,392,JPN,72,Iron and steel,N/A,,782241287.0
M,484,MEX,392,JPN,65,Headgear and parts thereof,N/A,,19041.0
M,484,MEX,392,JPN,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,211.0
M,484,MEX,392,JPN,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,,2777.0
M,484,MEX,392,JPN,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,14333802.0
M,484,MEX,392,JPN,74,Copper and articles thereof,N/A,,24090079.0
M,484,MEX,392,JPN,75,Nickel and articles thereof,N/A,,1796520.0
M,484,MEX,392,JPN,76,Aluminium and articles thereof,N/A,,39260643.0
M,484,MEX,392,JPN,78,Lead and articles thereof,N/A,,1470781.0
M,484,MEX,392,JPN,79,Zinc and articles thereof,N/A,,1359157.0
M,484,MEX,392,JPN,80,Tin; articles thereof,N/A,,488238.0
M,484,MEX,392,JPN,81,"Metals; n.e.c., cermets and articles thereof",N/A,,24913250.0
M,484,MEX,392,JPN,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,35563573.0
M,484,MEX,392,JPN,83,Metal; miscellaneous products of base metal,N/A,,57077853.0
M,484,MEX,251,FRA,09,"Coffee, tea, mate and spices",N/A,,52572.0
M,484,MEX,251,FRA,01,Animals; live,N/A,,39553.0
M,484,MEX,251,FRA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,851491.0
M,484,MEX,251,FRA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,1585594.0
M,484,MEX,251,FRA,05,Animal originated products; not elsewhere specified or included,N/A,,951532.0
M,484,MEX,251,FRA,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,355974.0
M,484,MEX,251,FRA,10,Cereals,N/A,,23132.0
M,484,MEX,251,FRA,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,6843097.0
M,484,MEX,251,FRA,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,8089535.0
M,484,MEX,251,FRA,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,11778428.0
M,484,MEX,251,FRA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,946233.0
M,484,MEX,251,FRA,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,763986.0
M,484,MEX,251,FRA,17,Sugars and sugar confectionery,N/A,,316142.0
M,484,MEX,251,FRA,18,Cocoa and cocoa preparations,N/A,,2504546.0
M,484,MEX,251,FRA,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,13106428.0
M,484,MEX,251,FRA,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,939810.0
M,484,MEX,251,FRA,21,Miscellaneous edible preparations,N/A,,6216898.0
M,484,MEX,251,FRA,22,"Beverages, spirits and vinegar",N/A,,49332169.0
M,484,MEX,251,FRA,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,25747001.0
M,484,MEX,251,FRA,24,Tobacco and manufactured tobacco substitutes,N/A,,136134.0
M,484,MEX,251,FRA,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,2341987.0
M,484,MEX,251,FRA,26,"Ores, slag and ash",N/A,,2812.0
M,484,MEX,251,FRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,99782611.0
M,484,MEX,251,FRA,07,Vegetables and certain roots and tubers; edible,N/A,,41399.0
M,484,MEX,251,FRA,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,768688.0
M,484,MEX,251,FRA,29,Organic chemicals,N/A,,105985134.0
M,484,MEX,251,FRA,30,Pharmaceutical products,N/A,,309179270.0
M,484,MEX,251,FRA,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,4568078.0
M,484,MEX,251,FRA,31,Fertilizers,N/A,,50857.0
M,484,MEX,251,FRA,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,28288560.0
M,484,MEX,251,FRA,41,Raw hides and skins (other than furskins) and leather,N/A,,954527.0
M,484,MEX,251,FRA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,134900054.0
M,484,MEX,251,FRA,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,7643909.0
M,484,MEX,251,FRA,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,23101707.0
M,484,MEX,251,FRA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,2793498.0
M,484,MEX,251,FRA,37,Photographic or cinematographic goods,N/A,,3154089.0
M,484,MEX,251,FRA,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,12998029.0
M,484,MEX,251,FRA,43,Furskins and artificial fur; manufactures thereof,N/A,,42619.0
M,484,MEX,251,FRA,44,Wood and articles of wood; wood charcoal,N/A,,1849163.0
M,484,MEX,251,FRA,45,Cork and articles of cork,N/A,,611671.0
M,484,MEX,251,FRA,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,4766.0
M,484,MEX,251,FRA,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,215399.0
M,484,MEX,251,FRA,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,28452041.0
M,484,MEX,251,FRA,38,Chemical products n.e.c.,N/A,,51545732.0
M,484,MEX,251,FRA,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,5008388.0
M,484,MEX,251,FRA,50,Silk,N/A,,15662.0
M,484,MEX,251,FRA,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,69383.0
M,484,MEX,251,FRA,52,Cotton,N/A,,1020867.0
